1,601 East Rollins Street, Orlando,FL,32803
2,4440 West 95th Street, Oak Lawn,IL,60453
3,1775 Dempster Street, Park Ridge,IL,60068
4,One Perkins Square, Akron,OH,44308
5,1675 Highland Avenue, Madison,WI,53792
6,225 East Chicago Avenue, Chicago,IL,60611
7,1 Children's Way, Little Rock,AR,72202
8,92 West Miller Street, Orlando,FL,32806
9,22101 Moross Road, Detroit,MI,48236
10,777 Hemlock Street, Macon,GA,31201
11,1400 South Dobson Road, Mesa,AZ,85202
12,1901 South West HK Dodgen Loop, Temple,TX,76502
13,759 Chestnut Street, Springfield,MA,1199
14,3601 West Thirteen Mile Road, Royal Oak,MI,48073
15,43 New Scotland Avenue, Albany,NY,12208
16,2131 South 17th Street, Wilmington,NC,28402
17,1200 Pleasant Street, Des Moines,IA,50309
18,95 Bradhurst Avenue, Valhalla,NY,10595
19,5801 Bremo Road, Richmond,VA,23226
20,300 Longwood Avenue, Boston,MA,2115
21,555 North 30th Street, Omaha,NE,68131
22,601 John Street, Kalamazoo,MI,49007
23,1500 East Medical Center Drive, Ann Arbor,MI,48109
24,611 West Park Street, Urbana,IL,61801
25,1127 University Boulevard NE, Albuquerque,NM,87102
26,1935 Medical District Drive, Dallas,TX,75235
27,1575 Northeast Expressway, Atlanta,GA,30329
28,8200 Dodge Street, Omaha,NE,68114
29,910 Blackford Street, Chattanooga,TN,37403
30,13123 East 16th Avenue, Aurora,CO,80045
31,4650 Sunset Boulevard, Los Angeles,CA,90027
32,200 Henry Clay Avenue, New Orleans,LA,70118
33,1446 Harper Street, Augusta,GA,30912
34,3901 Beaubien Boulevard, Detroit,MI,48201
35,1800 West Charleston Boulevard, Las Vegas,NV,89102
36,3401 Civic Center Boulevard, Philadelphia,PA,19104
37,1000 East Broad Street, Richmond,VA,23298
38,601 Children's Lane, Norfolk,VA,23507
39,1740 West Taylor Street, Chicago,IL,60612
40,6411 Fannin Street, Houston,TX,77030
41,2401 Gillham Road, Kansas City,MO,64108
42,2525 Chicago Avenue South, Minneapolis,MN,55404
43,345 North Smith Avenue, St. Paul,MN,55102
44,111 Michigan Avenue NW, Washington,DC,20010
45,1600 Seventh Avenue South, Birmingham,AL,35233
46,2500 North State Street, Jackson,MS,39216
47,200 Somerset Street, New Brunswick,NJ,8901
48,999 North 92nd Street, Milwaukee,WI,53226
49,5406 Merle Hay Road, Johnston,IA,50131
50,1201 West La Veta Avenue, Orange,CA,92868
51,333 North Santa Rosa Street, San Antonio,TX,78207
52,3333 Burnet Avenue, Cincinnati,OH,45229
53,9500 Euclid Avenue, Cleveland,OH,44195
54,2801 Martin Luther King Jr. Drive,Cleveland,OH,44104
55,269-01 76th Avenue, New Hyde Park,NV,11040
56,5721 South Maryland Avenue, Chicago,IL,60637
57,2823 Fresno Street, Fresno,CA,93721
58,1200 North Elm Street, Greensboro,NC,27401
59,282 Washington Street, Hartford,CT,6106
60,801 Seventh Avenue, Fort Worth,TX,76104
61,400 West Pueblo Street, Santa Barbara,CA,93105
62,4015 - 22nd Place, Lubbock,TX,79410
63,1447 N Harrison St., Saginaw,MI,48602
64,3801 South National Avenue, Springfield,MO,65807
65,One Medical Center Drive, Lebanon,NH,3756
66,1 Children's Plaza, Dayton,OH,45404
67,4900 Mueller Boulevard, Austin,TX,78723
68,3181 SW Sam Jackson Park Road, Portland,OR,97239
69,3533 South Alameda Street, Corpus Christi,TX,78411
70,4700 Waters Avenue, Savannah,GA,31403
71,2018 Clinch Avenue, Knoxville,TN,37916
72,4845 Alameda Avenue, El Paso,TX,79905
73,300 Corporate Boulevard South, Yonkers,NY,10701
74,407 East Third Street, Duluth,MN,55805
75,30 Warren Street, Brighton,MA,2135
76,200 East University Avenue, St. Paul,MN,55101
77,601 Elmwood Avenue, Rochester,NY,14642
78,9981 S Healthpark Dr, Fort Myers,FL,33908
79,100 Madison Avenue, Morristown,NJ,7962
80,1900 South Avenue 5th FL, La Crosse,WI,54601
81,593 Eddy Street, Providence,RI,2903
82,424 East 34th Street, New York,NY,10016
83,100 Michigan Avenue NE MC250, Grand Rapids,MI,49503
84,701 Park Avenue South, Minneapolis,MN,55415
85,1611 NW 12th Avenue, Miami,FL,33136
86,1340 Hal Greer Boulevard, Huntington,WV,25701
87,800 East Carpenter Street, Springfield,IL,62769
88,835 South Van Buren Street, Green Bay,WI,54301
89,3300 Gallows Road, Falls Church,VA,22042
90,2100 Stantonsburg Road, Greenville,NC,27835
