hospitalData
name,address,phone,web_address,staffed_beds,hospital_type,part_of_system
AdventHealth for Children,"601 East Rollins Street, Orlando, FL 32803, United States of America",(407) 303-7716,https://www.adventhealth.com/hospital/adventhealth-children,198,Acute,Yes
Advocate Childrens Hospital,"4440 West 95th Street, Oak Lawn, IL 60453, United States of America",(708) 684-8000,https://www.advocatechildrenshospital.com/,145,Acute,Yes
Advocate Childrens Hospital  Park Ridge,"1775 Dempster Street, Park Ridge, IL 60068, United States of America",(855) 312-5437,https://www.advocatechildrenshospital.com/,137,Acute,Yes
Akron Childrens Hospital,"One Perkins Square, Akron, OH 44308-1062, United States of America",(330) 543-1000,https://www.akronchildrens.org/,466,Acute,No
American Family Childrens Hospital,"1675 Highland Avenue, Madison, WI 53792, United States of America",(608) 890-5437,https://www.uwhealthkids.org/,101,Acute,Yes
Ann  Robert H Lurie Childrens Hospital of Chicago,"225 East Chicago Avenue, Chicago, IL 60611-2605, United States of America",(312) 227-4000,https://www.luriechildrens.org/,364,Acute,No
Arkansas Childrens Hospital,"1 Children's Way, Little Rock, AR 72202, United States of America",(501) 364-1100,https://www.archildrens.org/,360,Acute,No
Arnold Palmer Hospital for Children,"92 West Miller Street, Orlando, FL 32806, United States of America",(407) 649-9111,http://www.orlandohealth.com/arnoldpalmerhospital/,196,Acute,Yes
Ascension St John Childrens Hospital,"22101 Moross Road, Detroit, MI 48236, United States of America",(313) 343-3964,https://healthcare.ascension.org/Locations/Michigan/MIDET/Detroit-Ascension-St-John-Hospital,83,Acute,Yes
Atrium Health Navicent Beverly Knight Olson Childrens Hospital,"777 Hemlock Street, Macon, GA 31201, United States of America",(478) 633-1000,https://www.childrenshospitalnh.org/,79,Acute,Yes
Banner Childrens at Desert,"1400 South Dobson Road, Mesa, AZ 85202, United States of America",(480) 412-5437,https://www.bannerhealth.com/,138,Acute,Yes
